Country_EU,Year,General government revenue / Percent of GDP / ,General government total expenditure / National currency / Billions,Gross national savings / Percent of GDP / ,Total investment / Percent of GDP / ,Unemployment rate / Percent of total labor force / ,"Gross domestic product per capita, current prices / U.S. dollars / Units"
Spain,2005,39.713,356.857,22.133,29.387,9.153,26438.031
Spain,2006,40.56,385.827,21.714,30.565,8.453,28414.133
Spain,2007,41.141,422.204,21.01,30.442,8.233,32588.562
Spain,2008,36.87,459.823,19.551,28.455,11.245,35484.39
Spain,2009,34.955,494.355,19.215,23.303,17.855,32131.382
Spain,2010,36.508,493.815,18.648,22.303,19.858,30566.877
Spain,2011,36.415,490.976,17.848,20.572,21.39,31676.69
Spain,2012,37.92,501.688,18.522,18.436,24.788,28344.776
Spain,2013,38.796,467.649,19.254,17.216,26.095,29084.958
Spain,2014,39.199,465.65,19.601,17.902,24.443,29524.755
Spain,2015,38.714,472.962,21.022,18.996,22.058,25764.215
Spain,2016,38.137,472.733,21.929,18.753,19.635,26535.546
Spain,2017,38.174,478.669,22.183,19.411,17.225,28196.759
Spain,2018,39.204,501.63,22.408,20.478,15.255,30423.167
Spain,2019,39.201,523.441,23.026,20.89,14.105,29576.25
Sweden,2000,55.333,1256.972,26.722,22.91,6.342,29589.141
Sweden,2001,53.07,1293.457,27.566,22.961,5.825,27207.49
Sweden,2002,51.255,1368.756,26.5,22.139,5.95,29846.186
Sweden,2003,51.597,1428.381,27.749,21.946,6.567,37249.257
Sweden,2004,51.682,1452.827,27.782,21.853,7.375,42736.876
Sweden,2005,53.111,1503.103,28.229,22.279,7.642,43349.851
Sweden,2006,52.199,1559.894,31.332,23.256,7.042,46425.841
Sweden,2007,51.659,1604.706,32.932,24.882,6.117,53496.534
Sweden,2008,50.914,1672.457,32.301,24.591,6.167,55929.862
Sweden,2009,50.485,1710.76,26.936,21.037,8.3,46734.909
Sweden,2010,49.29,1763.056,28.799,22.962,8.575,52658.794
Sweden,2011,48.387,1812.529,29.266,23.834,7.767,60540.218
Sweden,2012,48.781,1863.834,28.06,22.591,7.967,57816.023
Sweden,2013,49.141,1931.976,27.752,22.523,8.0,60845.007
Sweden,2014,48.144,1983.187,27.717,23.504,7.933,59704.814
Sweden,2015,48.393,2061.676,27.743,24.429,7.4,51274.278
Sweden,2016,49.784,2153.571,27.105,24.715,6.95,51590.473
Sweden,2017,49.655,2231.691,28.676,25.725,6.683,53459.072
Sweden,2018,49.597,2354.774,28.643,26.008,6.325,54295.731
Sweden,2019,48.545,2425.63,30.586,25.124,6.767,51694.498
